id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
f5c4551d-66ab-498d-b4ee-fdf0483e5657,Dra. Maria Júlia Moraes,2003-04-08,255.699.286-67,14770239,Siqueira,TO,Brasil,M,(011) 8076-4415,25569928667@exemplo.com.br,2024-03-12
cce10959-ea32-49a6-bda2-26c140764451,Davi Jesus,1937-11-29,509.150.037-55,73063410,Peixoto das Pedras,RS,Brasil,F,+55 41 0780-9295,50915003755@exemplo.com.br,2025-05-06
051e5591-8cb0-4182-b422-cc7cc91474bb,João Felipe Porto,1956-12-10,859.788.052-15,95031-183,Cavalcanti,PR,Brasil,F,+55 81 4480 9319,85978805215@exemplo.com.br,2023-11-11
de33b93d-9649-4878-aa6f-9ef61ad2712a,Isabelly Pacheco,1936-08-27,951.077.207-38,66919-140,Barros do Oeste,AL,Brasil,M,+55 71 7393 1349,95107720738@exemplo.com.br,2024-11-08
6781221d-9f2b-4d5a-9fb3-6a6a76d06771,Vitor Hugo Montenegro,1977-04-07,470.397.097-57,96898-338,Cavalcanti,RJ,Brasil,F,+55 61 6062-0565,47039709757@exemplo.com.br,2024-10-23
8fff7ad4-6181-4a8d-af92-24736ef42d34,Sr. Vitor Gabriel Sá,1970-07-04,867.371.222-45,56240387,Jesus das Pedras,ES,Brasil,M,+55 81 8435-5361,86737122245@exemplo.com.br,2024-04-11
ddecabb7-5822-40ac-8fcb-a784b5a6ced2,Davi Luiz Casa Grande,1995-06-04,926.581.031-79,66247-302,Vargas,CE,Brasil,M,+55 (081) 9703 9293,92658103179@exemplo.com.br,2023-12-04
c8c459d5-0fed-4382-be48-d5ba814d9c8b,Ana Correia,1955-08-08,497.220.036-73,50377-726,Porto dos Dourados,PE,Brasil,M,0300-889-9712,49722003673@exemplo.com.br,2025-02-20
ba70c170-e210-4199-aced-212bc4e123d9,Maria Alice Nascimento,1938-01-21,747.398.628-39,72259-734,Oliveira,RJ,Brasil,F,+55 (061) 8060 6796,74739862839@exemplo.com.br,2025-06-19
d3bb1bcb-1617-4b22-a1a6-b4cf2a2f52b0,Milena Ramos,1951-02-19,019.416.454-71,95905650,Guerra,DF,Brasil,F,+55 (031) 9515-9938,01941645471@exemplo.com.br,2025-05-01
84f76c69-4515-4fb4-b8e8-b54156bb74f4,Sra. Luana Martins,1957-04-06,628.971.304-15,41831358,Vasconcelos,PB,Brasil,F,0500 521 4214,62897130415@exemplo.com.br,2024-10-08
3fccb8d6-0848-40ae-9467-364cbad998ed,Gustavo Rodrigues,1938-03-08,154.722.593-22,42115622,Costa,SC,Brasil,M,41 8754-2716,15472259322@exemplo.com.br,2025-06-25
5f5f6ce1-019f-4164-961e-26f22d1d6d48,Evelyn Pacheco,1985-09-19,165.206.682-50,84762-323,Souza das Pedras,ES,Brasil,M,(081) 0940-3159,16520668250@exemplo.com.br,2024-08-11
6538ec16-b452-4e71-9209-568c8ed350ef,Caleb Vieira,1940-04-07,542.493.994-08,48508303,Pires Alegre,SE,Brasil,F,+55 51 7012 0632,54249399408@exemplo.com.br,2025-04-06
3ddabb02-60ab-4111-95f8-69f8df9bd724,Maria Laura da Cruz,1965-01-05,598.951.749-21,85638-979,Nunes,PI,Brasil,M,84 3828 7513,59895174921@exemplo.com.br,2025-08-18
911b704e-b26f-4050-9b21-38f870a790d1,Eduardo Rocha,1973-02-13,812.033.293-88,58399-552,da Conceição dos Dourados,MS,Brasil,M,21 1328-1351,81203329388@exemplo.com.br,2024-06-22
f7c71aa0-c7b5-4187-8277-d29e7db6d626,Arthur Miguel Oliveira,1987-01-04,311.303.422-03,83188-827,Ribeiro de Cardoso,PB,Brasil,F,+55 21 0471 8606,31130342203@exemplo.com.br,2024-10-28
1303c559-5ccb-401a-8688-31a103bcb4b4,Hadassa Cassiano,1984-02-18,131.924.788-95,89880323,da Luz de Costela,MS,Brasil,F,0900-763-5279,13192478895@exemplo.com.br,2024-10-29
